lol, hapiness
kek, hapiness
D:, surprise
sad, sadness
cry, sadness
pog, surprise
cozy, hapiness
shake, surprise
wheeze, hapiness
gun, fear
rage, anger
angry, anger
glitch, anger
blink, neutral
ded, sadness
dead, sadness
o7, sadness
stare, disgust
shrug, neutral
sleep, neutral
bed, neutral
arrive, hapiness
leave, neutral
lurk, neutral
wiggle, happy
noted, neutral
nod, neutral
lul, hapiness
dance, hapiness
cheer, hapiness
rave, hapiness
love, hapiness
heart, hapiness
slap, anger
happy, hapiness
shy, neutral
letsgo, surprise
nope, disgust
pega, disgust
yep, neutral
xd, surprise
unamused, disgust
punch, anger
:3, hapiness
notlikethis, sadness
pat, hapiness
loading, neutral
hehe, hapiness
uwu, hapiness
comfy, hapiness
dum, disgust
ayaya, hapiness
knife, anger
heh, hapiness
sip, neutral
think, neutral
dent, disgust
mad, anger
smorc, anger
trihard, hapiness
clap, hapiness
ez, hapiness
xd, hapiness
fire, fear
icant, surprise
classic, hapiness
gigachad, surprise
feelsstrongman, sadness
huh, disgust
feelsgoodman, hapiness
kkona, hapiness
laugh, hapiness
jam, hapiness
bang, hapiness
pepehands, sadness
wtf, disgust
monka, fear
hyper, surprise
sus, disgust
ree, anger
caught, surprise
kiss, hapiness
giggle, hapiness
pop, hapiness
hands, sadness
amogus, hapiness
meow, sadness
aaaa, surprise
hey, hapiness
cringe, disgust
die, sadness
vibe, hapiness
what, surprise
om, hapiness
